perc,sel_perc,val,count
2,2,10.35,2
4,4,10.24,5
6,6,10.21,7
8,8,10.18,10
10,10,10.17,12
12,12,10.15,15
14,14,10.14,17
16,16,10.13,19
18,18,10.12,22
20,20,10.11,24
22,22,10.1,27
24,24,10.1,29
26,26,10.09,31
28,28,10.09,34
30,30,10.08,36
32,32,10.08,39
34,34,10.07,41
36,36,10.07,44
38,38,10.07,46
40,40,10.06,48
42,42,10.06,51
44,44,10.05,53
46,46,10.05,56
48,48,10.05,58
50,50,10.04,61
52,52,10.04,63
54,54,10.04,65
56,56,10.04,68
58,58,10.03,70
60,60,10.03,73
62,62,10.03,75
64,64,10.03,77
66,66,10.02,80
68,68,10.02,82
70,70,10.02,85
72,72,10.01,87
74,74,10.01,90
76,76,10.01,92
78,78,10.01,94
80,80,10,97
82,82,10,99
84,84,10,102
86,86,10,104
88,88,9.99,106
90,90,9.99,109
92,92,9.99,111
94,94,9.98,114
96,96,9.98,116
98,98,9.97,119
100,100,9.97,121